a, 57.9+-0.15,
s, 31+-0.2,
m, 5529+-1,
, , 
, raw, gls
0, 0, 0
9, 0, 0
18, 0, 0
27, 0, 0
36, 0, 0
45, 0, 0
54, 0, 0
63, 0, 0
72, 0, 0
81, 0, 0
90, 0, 0
99, 0, 0
108, 0, 0
117, 0, 0
126, 0, 0
135, 0, 0
144, 0, 0
153, 0, 0
162, 0, 0
171, 0, 0
180, 0, 0
189, 0, 0
198, 0, 0
207, 0, 0
216, 0, 0
225, 0, 0
234, 0, 0
243, 0, 0
252, 0, 0
261, 0, 0
270, 0, 0
279, 0, 0
288, 0, 0
297, 0, 0
306, 0, 0
315, 0, 0
324, 0, 0
333, 0, 0
342, 0, 0
351, 0, 0
360, 0, 0
369, 0, 0
378, 0, 0
387, 0, 0
396, 0, 0
405, 0, 0
414, 0, 0
423, 0, 0
432, 0, 0
441, 0, 0
450, 0, 0
459, 0, 0
468, 0, 0
477, 0, 0
486, 0, 0
495, 0, 0
504, 0, 0
513, 0, 0
522, 0, 0
531, 0, 0
540, 0, 0
549, 0, 0
558, 0, 0
567, 0, 0
576, 0, 0
585, 0, 0
594, 0, 0
603, 0, 0
612, 0, 0
621, 0, 0
630, 0, 0
639, 0, 0
648, 0, 0
657, 0, 0
666, 0, 0
675, 0, 0
684, 0, 0
693, 0, 0
702, 0, 0
711, 0, 0
720, 1, 0
729, 0, 0
738, 0, 0
747, 0, 0
756, 0, 0
765, 0, 0
774, 0, 0
783, 0, 0
792, 0, 0
801, 0, 0
810, 0, 0
819, 0, 0
828, 0, 0
837, 0, 0
846, 0, 0
855, 0, 0
864, 0, 0
873, 0, 0
882, 0, 0
891, 0, 0
900, 0, 0
909, 0, 0
918, 0, 0
927, 0, 0
936, 0, 0
945, 0, 0
954, 0, 0
963, 0, 0
972, 0, 0
981, 0, 0
990, 0, 0
999, 0, 0
1008, 0, 0
1017, 0, 0
1026, 0, 0
1035, 0, 0
1044, 0, 0
1053, 0, 0
1062, 0, 0
1071, 0, 0
1080, 0, 0
1089, 0, 0
1098, 0, 0
1107, 0, 0
1116, 0, 0
1125, 0, 0
1134, 0, 0
1143, 0, 0
1152, 0, 0
1161, 0, 0
1170, 0, 0
1179, 0, 0
1188, 0, 0
1197, 0, 0
1206, 0, 0
1215, 0, 0
1224, 0, 0
1233, 0, 0
1242, 0, 0
1251, 0, 0
1260, 0, 0
1269, 0, 0
1278, 0, 0
1287, 0, 0
1296, 0, 0
1305, 0, 0
1314, 0, 0
1323, 0, 0
1332, 0, 0
1341, 0, 0
1350, 0, 0
1359, 0, 0
1368, 0, 0
1377, 0, 0
1386, 0, 0
1395, 0, 0
1404, 0, 0
1413, 0, 0
1422, 0, 0
1431, 0, 0
1440, 0, 0
1449, 0, 0
1458, 0, 0
1467, 0, 0
1476, 0, 0
1485, 0, 0
1494, 0, 0
1503, 0, 0
1512, 0, 0
1521, 0, 0
1530, 0, 0
1539, 0, 0
1548, 0, 0
1557, 0, 0
1566, 0, 0
1575, 0, 0
1584, 0, 0
1593, 0, 0
1602, 0, 0
